id,dist1,dist2,dist3,timeSent,created_at,updated_at,macAddr,beac1,beac2,beac3
332,1.950324653,3.197224347,4.929633386,2014-09-21T22:36:14.000Z,2014-09-21T02:36:13.095Z,2014-09-21T02:36:13.095Z,,2467,12284,54317
333,1.678926878,3.25898217,5.368985398,2014-09-21T22:36:15.000Z,2014-09-21T02:36:14.075Z,2014-09-21T02:36:14.075Z,,2467,12284,54317
334,1.436737438,3.240740275,5.703713467,2014-09-21T22:36:16.000Z,2014-09-21T02:36:15.096Z,2014-09-21T02:36:15.096Z,,2467,12284,54317
335,1.537190598,2.743663879,5.84975801,2014-09-21T22:36:17.000Z,2014-09-21T02:36:16.096Z,2014-09-21T02:36:16.096Z,,2467,12284,54317
336,1.62228125,2.330778219,5.871767249,2014-09-21T22:36:18.000Z,2014-09-21T02:36:17.097Z,2014-09-21T02:36:17.097Z,,2467,12284,54317
337,1.690073926,2.065912427,6.000999612,2014-09-21T22:36:19.000Z,2014-09-21T02:36:18.071Z,2014-09-21T02:36:18.071Z,,2467,12284,54317
338,1.957421741,1.979752935,6.219465696,2014-09-21T22:36:20.000Z,2014-09-21T02:36:19.077Z,2014-09-21T02:36:19.077Z,,12284,2467,54317
339,1.568997178,1.942035809,6.304933766,2014-09-21T22:36:21.000Z,2014-09-21T02:36:20.098Z,2014-09-21T02:36:20.098Z,,2467,12284,54317
340,1.155463416,2.04798127,5.463590849,2014-09-21T22:36:22.000Z,2014-09-21T02:36:21.074Z,2014-09-21T02:36:21.074Z,,2467,12284,54317
341,0.956538077,2.246914597,4.399170345,2014-09-21T22:36:23.000Z,2014-09-21T02:36:22.096Z,2014-09-21T02:36:22.096Z,,2467,12284,54317
342,1.078704025,2.420419572,3.612905118,2014-09-21T22:36:24.000Z,2014-09-21T02:36:23.095Z,2014-09-21T02:36:23.095Z,,2467,12284,54317
343,1.320820332,1.800512259,3.759336866,2014-09-21T22:36:25.000Z,2014-09-21T02:36:24.074Z,2014-09-21T02:36:24.074Z,,2467,12284,54317
344,1.496776888,1.751068012,3.759336866,2014-09-21T22:36:26.000Z,2014-09-21T02:36:25.098Z,2014-09-21T02:36:25.098Z,,12284,2467,54317
345,1.631377808,2.061054395,4.147393879,2014-09-21T22:36:27.000Z,2014-09-21T02:36:26.107Z,2014-09-21T02:36:26.107Z,,12284,2467,54317
346,2.154931817,2.17966861,4.147393879,2014-09-21T22:36:34.000Z,2014-09-21T02:36:33.429Z,2014-09-21T02:36:33.429Z,,2467,12284,54317
355,0.687028832,6.214159374,6.85636907,2014-09-21T22:37:07.000Z,2014-09-21T02:37:06.854Z,2014-09-21T02:37:06.854Z,,2467,12284,54317
356,0.971616612,3.472169449,6.175916234,2014-09-21T22:37:08.000Z,2014-09-21T02:37:07.734Z,2014-09-21T02:37:07.734Z,,2467,54317,12284
357,1.279833645,3.977586762,6.175916234,2014-09-21T22:37:09.000Z,2014-09-21T02:37:08.831Z,2014-09-21T02:37:08.831Z,,2467,54317,12284
358,1.795854198,4.287229023,6.272693177,2014-09-21T22:37:10.000Z,2014-09-21T02:37:09.739Z,2014-09-21T02:37:09.739Z,,2467,54317,12284
359,0.834319097,1.891087916,4.435571084,2014-09-21T22:37:11.000Z,2014-09-21T02:37:10.800Z,2014-09-21T02:37:10.800Z,,54317,2467,12284
360,0.51184968,1.958900356,3.48385581,2014-09-21T22:37:12.000Z,2014-09-21T02:37:11.742Z,2014-09-21T02:37:11.742Z,,54317,2467,12284
361,0.634709079,2.130029625,3.969768896,2014-09-21T22:37:13.000Z,2014-09-21T02:37:12.733Z,2014-09-21T02:37:12.733Z,,54317,2467,12284
362,0.845220088,2.204934755,3.991910413,2014-09-21T22:37:14.000Z,2014-09-21T02:37:13.824Z,2014-09-21T02:37:13.824Z,,54317,2467,12284
363,1.006875031,2.262090099,3.284828023,2014-09-21T22:37:15.000Z,2014-09-21T02:37:14.746Z,2014-09-21T02:37:14.746Z,,54317,2467,12284
364,1.006875031,2.677005718,2.754424308,2014-09-21T22:37:16.000Z,2014-09-21T02:37:15.798Z,2014-09-21T02:37:15.798Z,,54317,2467,12284
365,1.470075235,2.426182716,2.850927662,2014-09-21T22:37:17.000Z,2014-09-21T02:37:16.732Z,2014-09-21T02:37:16.732Z,,54317,12284,2467
366,1.470075235,2.426182716,2.917299614,2014-09-21T22:37:18.000Z,2014-09-21T02:37:17.811Z,2014-09-21T02:37:17.811Z,,54317,12284,2467
367,1.126850802,2.431014483,2.796570202,2014-09-21T22:37:19.000Z,2014-09-21T02:37:18.732Z,2014-09-21T02:37:18.732Z,,54317,12284,2467
368,1.564380498,2.431014483,3.12488937,2014-09-21T22:37:20.000Z,2014-09-21T02:37:19.815Z,2014-09-21T02:37:19.815Z,,54317,12284,2467
369,1.525581412,3.212917486,3.293960999,2014-09-21T22:37:21.000Z,2014-09-21T02:37:20.759Z,2014-09-21T02:37:20.759Z,,54317,12284,2467
370,1.745202149,3.293960999,4.153003378,2014-09-21T22:37:22.000Z,2014-09-21T02:37:21.810Z,2014-09-21T02:37:21.810Z,,54317,2467,12284
371,2.11119889,3.10064787,3.511763956,2014-09-21T22:37:23.000Z,2014-09-21T02:37:22.791Z,2014-09-21T02:37:22.791Z,,54317,12284,2467
372,2.416355042,2.575563282,3.401882669,2014-09-21T22:37:24.000Z,2014-09-21T02:37:23.840Z,2014-09-21T02:37:23.840Z,,12284,54317,2467
373,1.689469781,2.827324413,3.183430466,2014-09-21T22:37:25.000Z,2014-09-21T02:37:24.757Z,2014-09-21T02:37:24.757Z,,12284,2467,54317
374,1.43327446,2.197380081,3.514994392,2014-09-21T22:37:26.000Z,2014-09-21T02:37:25.813Z,2014-09-21T02:37:25.813Z,,12284,2467,54317
375,1.336876985,1.960697309,3.941246165,2014-09-21T22:37:27.000Z,2014-09-21T02:37:26.752Z,2014-09-21T02:37:26.752Z,,12284,2467,54317
376,1.418359341,2.535365706,4.619368543,2014-09-21T22:37:28.000Z,2014-09-21T02:37:27.898Z,2014-09-21T02:37:27.898Z,,12284,2467,54317
